"","NAME","PROGRAM.IDENTIFIER","INSPECTION.DATE","DESCRIPTION","ADDRESS","CITY","ZIP.CODE","PHONE","LONGITUDE","LATITUDE","INSPECTION.BUSINESS.NAME","INSPECTION.TYPE","INSPECTION.SCORE","INSPECTION.RESULT","INSPECTION.CLOSED.BUSINESS","VIOLATION.TYPE","VIOLATION.DESCRIPTION","VIOLATION.POINTS","BUSINESS_ID","INSPECTION_SERIAL_NUM","VIOLATION_RECORD_ID","GRADE"
"358","19 GOLD","19 GOLD","10/07/2022","Seating 13-50 - Risk Category III","3601 FREMONT AVE N STE 101","SEATTLE","98103","(206) 883-6870",-122.35031342,47.65169662,"19 GOLD","Routine Inspection/Field Review",13,"Unsatisfactory","false","BLUE","3600 - Proper eating, tasting, drinking, or tobacco use",3,"PR0088266","DAZLWF77F","IVPTHNWM3",1
"366","1ST UNION STORE","1ST UNION STORE","09/08/2022","Grocery Store-no seating - Risk Category I","7729 RAINIER AVE S","SEATTLE","98118","(206) 721-1980",-122.2703260457,47.532773334,"1ST UNION STORE","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0078086","DAQHGEHRN","",NA
"368","2 FINGERS  SOCIAL","2 FINGERS  SOCIAL","03/02/2022","Seating 13-50 - Risk Category III","9211 DELRIDGE WAY SW","SEATTLE","98106","(702) 302-7083",-122.35831426,47.52059619,"2 FINGERS  SOCIAL","Consultation/Education - Field",0,"Complete","false","","",0,"PR0087100","DA4QFF9VV","",1
"397","20 OZ TEA","20 OZ TEA","08/26/2022","Seating 13-50 - Risk Category III","1823 EASTLAKE AVE E 160","SEATTLE","98102","(206) 355-1491",-122.32591059,47.63568728,"20 OZ TEA","Routine Inspection/Field Review",15,"Unsatisfactory","false","RED","0200 - Food Worker Cards current for all food workers; new food workers trained",5,"PR0087143","DAWE1UOQA","IV4T6CDZL",1
"408","203 DEGREES FAHRENHEIT CORP","203 DEGREES FAHRENHEIT CORP","11/21/2022","Seating 13-50 - Risk Category II","610 TERRY AVE N STE 170","SEATTLE","98109","(206) 227-4293",-122.33683306,47.62529931,"203 DEGREES FAHRENHEIT CORP","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0090075","DAXLYX3IX","",1
"409","206 BURGER","206 BURGER","05/10/2022","Seating 13-50 - Risk Category III","1329 N 45TH ST STE 109","SEATTLE","98103","(206) 805-9222",-122.34093,47.6612,"206 BURGER","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0087881","DALQ83EJA","",1
"410","206 BURGER COMPANY","206 BURGER COMPANY","05/26/2022","Seating 13-50 - Risk Category III","101 NICKERSON ST STE A","SEATTLE","98109","(206) 661-2320",-122.3552638709,47.6483705082,"206 BURGER COMPANY","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0077121","DA0EHQYTU","",1
"411","206 BURGER COMPANY","206 BURGER COMPANY","05/19/2022","Seating 13-50 - Risk Category III","1000 MADISON ST","SEATTLE","98104","(206) 735-7069",-122.3261480986,47.6090551634,"206 BURGER COMPANY","Routine Inspection/Field Review",10,"Unsatisfactory","false","RED","2110 - Proper cold holding temperatures (greater than  45 degrees F)",10,"PR0033707","DADZLYS0F","IVD1J0K67",1
"420","206 MINI MART LLC","206 MINI MART LLC","08/15/2022","Grocery Store-no seating - Risk Category I","8738 RAINIER AVE S ","SEATTLE","98118","(206) 334-3876",-122.2697464571,47.5241785016,"206 MINI MART LLC","Routine Inspection/Field Review",5,"Satisfactory","false","BLUE","3300 - Potential food contamination prevented during delivery,  preparation, storage, display",5,"PR0076125","DADJVZTSL","IVW5QC00B",NA
"442","2120","2120","06/07/2022","Seating 51-150 - Risk Category III","2120 6TH AVE","SEATTLE","98121","(206) 829-8700",-122.34014335,47.61577714,"2120","Consultation/Education - Field",0,"Complete","false","","",0,"PR0086799","DANNYXDTB","",1
"512","23RD & CHERRY FELLOWSHIP HALL","23RD & CHERRY FELLOWSHIP HALL","03/09/2022","Seating 13-50 - Risk Category III","2701 E CHERRY ST ","SEATTLE","98122","(206) 325-4388",-122.297552399,47.6077428096,"23RD & CHERRY FELLOWSHIP HALL","Routine Inspection/Field Review",10,"Unsatisfactory","false","BLUE","4200 - Food-contact surfaces maintained, clean, sanitized",5,"PR0069504","DAGQA8UTK","IVNHFD3QM",1
"531","24/7 CONVENIENCE STORE","24/7 CONVENIENCE STORE","09/27/2022","Grocery Store-no seating - Risk Category I","11851 GLENDALE WAY S","SEATTLE","98168","(206) 841-6123",-122.31118,47.496095,"24/7 CONVENIENCE STORE","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0082552","DASYC3YL9","",NA
"536","2C THAIBISTRO & SPIRITS","2C THAIBISTRO & SPIRITS","05/26/2022","Seating 13-50 - Risk Category III","12506 LAKE CITY WAY NE","SEATTLE","98125","(425) 786-7169",-122.29474176,47.71955074,"2C THAIBISTRO & SPIRITS","Routine Inspection/Field Review",15,"Unsatisfactory","false","BLUE","3400 - Wiping cloths properly used, stored, proper sanitizer",5,"PR0084895","DAV5YDY2A","IV8IXK7RD",1
"552","2ND AVE GROCERY","2ND AVE GROCERY","11/18/2022","Grocery Store-no seating - Risk Category I","2237 2ND AVE ","SEATTLE","98121","(206) 306-5773",-122.3456321143,47.6137836656,"2ND AVE GROCERY","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0071985","DAJUBTJPS","",NA
"555","3 BROS PIZZA CO","3 BROS PIZZA CO","","Caterer - Risk Category II","5604 DELRIDGE WAY SW","SEATTLE","98106","(509) 881-5675",-122.36272383,47.55166955,"","",NA,"","","","",0,"PR0090517","","",NA
"556","314 PIE","314 PIE","05/10/2021","Mobile Food Unit - Risk Category III","801 26TH AVE E","SEATTLE","98112","(512) 304-3590",-122.36272184,47.55167133,"314 PIE","Consultation/Education - Field",0,"Complete","false","","",0,"PR0082603","DAZZW14KY","",NA
"568","3RD AVE CAFE","3RD AVE CAFE","10/24/2019","Seating 13-50 - Risk Category III","1908 3RD AVE ","Seattle","98101","(206) 622-7778",-122.3399331044,47.6120226711,"3RD AVE CAFE","Routine Inspection/Field Review",10,"Unsatisfactory","false","RED","2110 - Proper cold holding temperatures (greater than  45 degrees F)",10,"PR0002550","DA8AAARIS","IV4UHTKOF",1
"638","411 WINE LOUNGE- GRAMERCY","411 WINE LOUNGE- GRAMERCY","09/28/2022","Seating 13-50 - Risk Category II","411 1ST AVE S 104","SEATTLE","98104","(206) 553-9003",-122.334597936,47.5986010403,"411 WINE LOUNGE- GRAMERCY","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0026367","DAJRTZAUO","",1
"640","45 STOP-N-GO & SUSHI DELI","45 STOP-N-GO & SUSHI DELI","09/02/2022","Seating 0-12 - Risk Category III","2323 N 45TH ST ","SEATTLE","98103","(206) 678-2270",-122.330453209,47.661259264,"45 STOP-N-GO & SUSHI DELI","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0012005","DAQKUVSXL","",1
"658","45TH POKE BAR","45TH POKE BAR","08/17/2022","Seating 13-50 - Risk Category II","2121 TERRY AVE #104","SEATTLE","98121","(206) 678-2270",-122.3375087074,47.6182713133,"45TH POKE BAR","Return Inspection",15,"Unsatisfactory","false","RED","2110 - Proper cold holding temperatures (greater than  45 degrees F)",10,"PR0076305","DALLTZDEE","IVPF0VNNI",2
"664","45TH VEGETARIAN THAI","45TH VEGETARIAN THAI","10/03/2022","Seating 13-50 - Risk Category III","1718 N 45TH ST","Seattle","98103","(206) 483-7743",-122.3366551817,47.6615246383,"45TH VEGETARIAN THAI","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0001414","DAZ4VO19K","",1
"665","4649 RESTAURANT","4649 RESTAURANT","10/21/2022","Seating 13-50 - Risk Category III","1913 N 45TH ST ","Seattle","98103","(206) 547-4649",-122.3344350279,47.6612037129,"4649 RESTAURANT","Routine Inspection/Field Review",15,"Unsatisfactory","false","BLUE","4100 - Warewashing facilities properly installed, maintained, used;",5,"PR0057270","DAKHMR6MF","IVAD6CDDS",1
"694","4B'S TAVERN","4B'S TAVERN","05/17/2022","Seating 51-150 - Risk Category III","4300 LEARY WAY NW ","Seattle","98107","(425) 442-1329",-122.3645210571,47.6591105954,"4B'S TAVERN","Routine Inspection/Field Review",5,"Unsatisfactory","false","RED","1400 - Raw meats below and away from ready to eat food; species separated",5,"PR0001294","DA0DMDCAV","IV80JTBAI",1
"695","5 GUYS SEATTLE BURGERS","5 GUYS SEATTLE BURGERS","01/31/2022","Seating 13-50 - Risk Category III","311 NE 103rd ST","SEATTLE","98125","(801) 859-4448",-122.3242337,47.70292236,"5 GUYS SEATTLE BURGERS","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0079651","DAIJQF8WK","",1
"724","5 SPOT DINER DELUX","5 SPOT DINER DELUX","08/12/2022","Seating 51-150 - Risk Category III","1502 QUEEN ANNE AVE N ","Seattle","98109","(206) 250-5143",-122.356723964,47.6325265677,"5 SPOT DINER DELUX","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0023299","DATM04MUI","",1
"730","505 DIMPLES GIFT & SUNDRIES","505 DIMPLES GIFT & SUNDRIES","08/15/2022","Grocery Store-no seating - Risk Category I","505 5TH AVE S 190","SEATTLE","98104","(206) 643-0421",-122.3279141608,47.5982991051,"505 DIMPLES GIFT & SUNDRIES","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0068164","DAWOBL4XD","",NA
"796","56TH STREET MARKET","56TH STREET MARKET","08/09/2022","Grocery Store-no seating - Risk Category I","2201 N 56TH ST ","SEATTLE","98103","(206) 402-3699",-122.3324480219,47.6685054875,"56TH STREET MARKET","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0076345","DAFUPZAHC","",NA
"808","65th ST CAFE & RESTAURANT","65th ST CAFE & RESTAURANT","09/21/2022","Seating 13-50 - Risk Category III","301 NE 65TH ST","SEATTLE","98115","(206) 522-5585",-122.325304,47.675805,"65th ST CAFE & RESTAURANT","Routine Inspection/Field Review",7,"Unsatisfactory","false","BLUE","4900 - Adequate ventilation; lighting; designated area...",2,"PR0083321","DAM8E78NX","IV8FDU1RX",1
"813","663 BISTRO","663 BISTRO","03/23/2022","Seating 51-150 - Risk Category III","663 S WELLER ST ","SEATTLE","98104","(206) 349-2544",-122.3244913451,47.5973779763,"663 BISTRO","Routine Inspection/Field Review",43,"Unsatisfactory","false","BLUE","3000 - Proper thawing methods used",3,"PR0048541","DAZQMTCNU","IV59CN1PP",2
"817","7 - ELEVEN #37134A","7 - ELEVEN #37134A","10/18/2022","Seating 0-12 - Risk Category III","5700 M L KING JR WAY S","SEATTLE","98118","(206) 725-8421",-122.287323,47.550965,"7 - ELEVEN #37134A","Consultation/Education - Field",0,"Complete","false","","",0,"PR0084372","DAHU0SILC","",1
"837","7 - ELEVEN #38365A","7 - ELEVEN #38365A","04/21/2022","Seating 0-12 - Risk Category III","4710 UNIVERSITY WAY NE","SEATTLE","98105","(206) 409-5327",-122.31276326,47.66350241,"7 - ELEVEN #38365A","Routine Inspection/Field Review",15,"Unsatisfactory","false","BLUE","3400 - Wiping cloths properly used, stored, proper sanitizer",5,"PR0083074","DAVJBFEU8","IVSZSCL2K",1
"899","7- ELEVEN #23931F","7- ELEVEN #23931F","02/14/2022","Seating 0-12 - Risk Category III","11657 DES MOINES MEMORIAL DR S ","SEATTLE","98168","",-122.3087670109,47.4981739249,"7- ELEVEN #23931F","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0004275","DACNRDTTX","",1
"912","7-ELEVEN #14368P","7-ELEVEN #14368P","08/12/2022","Seating 0-12 - Risk Category III","1607 QUEEN ANNE AVE N ","SEATTLE","98109","(972) 828-6928",-122.3573732534,47.6338933536,"7-ELEVEN #14368P","Consultation/Education - Field",0,"Complete","false","","",0,"PR0011776","DARZEU6I7","",1
"913","7-ELEVEN #14470B","7-ELEVEN #14470B","04/11/2022","Seating 0-12 - Risk Category III","1600 SW HOLDEN ST ","Seattle","98106","(206) 763-1415",-122.3554136473,47.5340090578,"7-ELEVEN #14470B","Routine Inspection/Field Review",10,"Unsatisfactory","false","BLUE","3400 - Wiping cloths properly used, stored, proper sanitizer",5,"PR0002250","DABCYZ1YM","IVFBXFBPP",1
"921","7-ELEVEN #15525E","7-ELEVEN #15525E","05/05/2022","Seating 0-12 - Risk Category III","3120 S 176TH ST","SEATTLE","98188","(972) 828-6928",-122.2921186302,47.445687087,"7-ELEVEN #15525E","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0004268","DAXRX5XFI","",1
"922","7-ELEVEN #16022G","7-ELEVEN #16022G","10/19/2022","Seating 0-12 - Risk Category III","5900 PHINNEY AVE N ","Seattle","98103","(206) 789-4477",-122.354018323,47.6719672037,"7-ELEVEN #16022G","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0001019","DAXKFFYBY","",1
"923","7-ELEVEN #16365L","7-ELEVEN #16365L","07/19/2022","Seating 0-12 - Risk Category III","6111 24TH AVE NW ","SEATTLE","98107","",-122.3879876496,47.673604739,"7-ELEVEN #16365L","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0001027","DAA1XVWHR","",1
"928","7-ELEVEN #16545G","7-ELEVEN #16545G","10/21/2022","Seating 0-12 - Risk Category III","103 15TH AVE E ","Seattle","98112","(972) 828-6928",-122.3130112368,47.6186773348,"7-ELEVEN #16545G","Routine Inspection/Field Review",20,"Unsatisfactory","false","BLUE","3200 - Insects, rodents, animals not present; entrance controlled.",5,"PR0011526","DAMOPE0EP","IV4DL2HFB",2
"933","7-ELEVEN #16547P","7-ELEVEN #16547P","11/30/2022","Seating 0-12 - Risk Category III","4812 ERSKINE WAY SW ","SEATTLE","98116","(253) 796-7151",-122.3871279733,47.5588039469,"7-ELEVEN #16547P","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0002233","DA1EJGD9W","",1
"936","7-ELEVEN #17486N","7-ELEVEN #17486N","","Seating 0-12 - Risk Category III","12702 RENTON AVE S ","Seattle","98178","(972) 828-6865",-122.2379240326,47.4901239508,"","",NA,"","","","",0,"PR0005117","","",1
"937","7-ELEVEN #18553H","7-ELEVEN #18553H","","Seating 0-12 - Risk Category III","3931 STONE WAY N","Seattle","98103","(206) 632-3546",-122.3429274107,47.6551035359,"","",NA,"","","","",0,"PR0001037","","",NA
"938","7-ELEVEN #19042G","7-ELEVEN #19042G","08/10/2022","Seating 0-12 - Risk Category III","7314 AURORA AVE N ","Seattle","98103","(206) 522-7066",-122.3441041651,47.6826132821,"7-ELEVEN #19042G","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0008294","DAJVL8BRS","",2
"945","7-ELEVEN #21776D","7-ELEVEN #21776D","08/17/2022","Seating 0-12 - Risk Category III","21454 PACIFIC HWY S ","Seattle","98198","(850) 577-6957",-122.2977310427,47.4085153638,"7-ELEVEN #21776D","Routine Inspection/Field Review",10,"Unsatisfactory","false","RED","0600 - Adequate handwashing facilities",10,"PR0004278","DAMRCZP0Y","IVGSPM79Z",2
"955","7-ELEVEN #23020J","7-ELEVEN #23020J","09/29/2022","Seating 0-12 - Risk Category III","1522 E MADISON ST ","Seattle","98122","",-122.3119680733,47.6150841664,"7-ELEVEN #23020J","Consultation/Education - Field",0,"Complete","false","","",0,"PR0002245","DA9DJUQZ6","",1
"1020","7-ELEVEN #23895D","7-ELEVEN #23895D","01/18/2022","Seating 0-12 - Risk Category III","12355 15TH AVE NE ","Seattle","98125","(206) 363-9454",-122.313088745,47.719167956,"7-ELEVEN #23895D","Routine Inspection/Field Review",10,"Unsatisfactory","false","RED","2110 - Proper cold holding temperatures (greater than  45 degrees F)",10,"PR0011694","DAVJBHQOZ","IVB9YCPIP",2
"1058","7-ELEVEN #26939D","7-ELEVEN #26939D","","Seating 0-12 - Risk Category III","2429 HARBOR AVE SW ","SEATTLE","98126","(850) 577-6957",-122.3734129133,47.5813771296,"","",NA,"","","","",0,"PR0013963","","",3
"1086","7-ELEVEN #27742B","7-ELEVEN #27742B","08/17/2022","Seating 0-12 - Risk Category III","20008 PACIFIC HWY S ","SEATTLE","98198","(972) 828-6928",-122.2958737571,47.4223933166,"7-ELEVEN #27742B","Routine Inspection/Field Review",5,"Unsatisfactory","false","RED","2120 - Proper cold holding temperatures ( 42 degrees F to 45 degrees F)",5,"PR0013425","DAUDMEKUN","IVNP4YTPI",2
"1088","7-ELEVEN #32945H","7-ELEVEN #32945H","06/02/2022","Seating 0-12 - Risk Category III","999 NW LEARY WAY ","SEATTLE","98107","(972) 828-6927",-122.3704303179,47.6631556438,"7-ELEVEN #32945H","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0067270","DAYNFKSMD","",1
"1173","7-ELEVEN #35532B","7-ELEVEN #35532B","11/30/2021","Seating 0-12 - Risk Category III","819 VIRGINIA ST UNIT C-1","SEATTLE","98101","(206) 623-0413",-122.3358385,47.61602863,"7-ELEVEN #35532B","Return Inspection",10,"Unsatisfactory","false","RED","0600 - Adequate handwashing facilities",10,"PR0082120","DA6CS0XNQ","IVQ5CXGLM",3
"1198","7-ELEVEN #35541B","7-ELEVEN #35541B","03/11/2022","Seating 0-12 - Risk Category III","627 1ST AVE","SEATTLE","98104","(206) 467-5979",-122.33446393,47.60251526,"7-ELEVEN #35541B","Routine Inspection/Field Review",20,"Unsatisfactory","false","BLUE","4100 - Warewashing facilities properly installed,...",5,"PR0082979","DAO22KENI","IVZSENFKN",2
"1248","7-ELEVEN #37068A","7-ELEVEN #37068A","11/15/2022","Seating 0-12 - Risk Category III","810 3RD AVE STE 820","SEATTLE","98104","(206) 682-2866",-122.33274881,47.6046984,"7-ELEVEN #37068A","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0084072","DAGMFLVCC","",1
"1276","7-ELEVEN #37755A","7-ELEVEN #37755A","04/14/2022","Seating 0-12 - Risk Category III","1105 NE 47th ST","SEATTLE","98105","(972) 828-7656",-122.31612382,47.66298557,"7-ELEVEN #37755A","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0086309","DAS5RKDLI","",1
"1356","7-ELEVEN #41883A","7-ELEVEN #41883A","10/06/2022","Seating 0-12 - Risk Category III","1830 MINOR AVE","SEATTLE","98101","(972) 828-6928",-122.3308116303,47.6172086272,"7-ELEVEN #41883A","Routine Inspection/Field Review",35,"Unsatisfactory","false","BLUE","3400 - Wiping cloths properly used, stored, proper sanitizer",5,"PR0053506","DAZOPF25X","IV0QMMW5N",2
"1383","7-ELEVEN 14436E","7-ELEVEN 14436","06/21/2022","Seating 0-12 - Risk Category III","4312 SW ADMIRAL WAY SW ","Seattle","98116","(425) 271-5030",-122.3867406432,47.5813575574,"7-ELEVEN 14436E","Consultation/Education - Field",0,"Complete","false","","",0,"PR0002237","DAJ5DHMPB","",2
"1513","7-ELEVEN STORE #23525F","7-ELEVEN STORE #23525F","11/17/2022","Seating 0-12 - Risk Category III","12848 M L KING JR WAY S ","SEATTLE","98178","(206) 772-3112",-122.2580865081,47.4877808891,"7-ELEVEN STORE #23525F","Routine Inspection/Field Review",10,"Unsatisfactory","false","RED","0600 - Adequate handwashing facilities",10,"PR0005110","DA0WPGGEG","IVVOAP57I",1
"1531","7-ELEVEN STORE #2360-14355G","7-ELEVEN STORE #2360-14355G","08/10/2022","Seating 0-12 - Risk Category III","9126 ROOSEVELT WAY NE ","Seattle","98115","(206) 522-6231",-122.3170805889,47.6957472793,"7-ELEVEN STORE #2360-14355G","Routine Inspection/Field Review",35,"Unsatisfactory","false","RED","1710 - Proper hot holding temperatures (less than130 degrees)",25,"PR0001011","DAOU8HSPQ","IVQ4UJC0F",2
"1591","7-ELEVEN STORE #2360-14360A","7-ELEVEN STORE #2360-14360A","09/02/2022","Seating 0-12 - Risk Category III","3200 NW 54TH ST ","Seattle","98107","(253) 796-7155",-122.3986795916,47.6677206722,"7-ELEVEN STORE #2360-14360A","Routine Inspection/Field Review",10,"Unsatisfactory","false","RED","1720 - Proper hot holding temperatures; between 130 degrees F to 134 degrees F",5,"PR0001013","DAFMIUB9C","IVBT0CRWA",1
"1643","7-ELEVEN STORE #2360-14373C","7-ELEVEN STORE #2360-14373C","06/02/2022","Seating 0-12 - Risk Category III","8250 LAKE CITY WAY NE ","SEATTLE","98115","(206) 522-2711",-122.3097150192,47.6889474844,"7-ELEVEN STORE #2360-14373C","Return Inspection",0,"Satisfactory","false","","",0,"PR0001012","DAXU2FGZX","",2
"1671","7-ELEVEN STORE #2360-14392B","7-ELEVEN STORE #2360-14392B","04/06/2022","Seating 0-12 - Risk Category III","9 NICKERSON ST ","Seattle","98109","(253) 796-7155",-122.3573274102,47.6491866294,"7-ELEVEN STORE #2360-14392B","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0002252","DAUPY0P1C","",1
"2015","7-ELEVEN STORE #2360-23109D","7-ELEVEN STORE #2360-23109D","04/05/2022","Seating 0-12 - Risk Category III","362 DENNY WAY ","Seattle","98109","(425) 397-7143",-122.3492997029,47.6187523458,"7-ELEVEN STORE #2360-23109D","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0002246","DAEZQHDYO","",1
"2039","7-ELEVEN STORE #2360-25525D","7-ELEVEN STORE #2360-25525D","05/18/2022","Seating 0-12 - Risk Category III","1550 NW MARKET ST","SEATTLE","98107","",-122.3785918617,47.6689446959,"7-ELEVEN STORE #2360-25525D","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0011211","DAQBPIWXP","",1
"2098","7-ELEVEN STORE #2360-26055B","7-ELEVEN STORE #2360-26055B","06/13/2022","Seating 0-12 - Risk Category III","300 N 125TH ST ","Seattle","98133","(253) 796-7155",-122.3550762628,47.7199269081,"7-ELEVEN STORE #2360-26055B","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0011439","DAGKPFN04","",1
"2158","7-ELEVEN STORE #2360-26544C","7-ELEVEN STORE #2360-26544C","04/12/2022","Seating 0-12 - Risk Category III","304 N 36TH ST ","Seattle","98103","(253) 796-7155",-122.3552133262,47.6527899515,"7-ELEVEN STORE #2360-26544C","Consultation/Education - Field",0,"Complete","false","","",0,"PR0014190","DA3119693","",1
"2204","7-ELEVEN STORE #2361-14443D","7-ELEVEN STORE #2361-14443D","08/11/2022","Seating 0-12 - Risk Category III","14462 34TH AVE S ","Seattle","98168","(253) 796-7155",-122.2892321974,47.4726953229,"7-ELEVEN STORE #2361-14443D","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0004267","DA8BJB07Y","",1
"2255","7-ELEVEN STORE #2361-14463E","7-ELEVEN STORE #2361-14463E","11/08/2022","Seating 0-12 - Risk Category III","9041 DELRIDGE WAY SW","Seattle","98106","(253) 796-7155",-122.359688364,47.5217700784,"7-ELEVEN STORE #2361-14463E","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0002249","DAXKGQDQC","",1
"2374","7-ELEVEN STORE #2361-22866C","7-ELEVEN STORE #2361-22866C","04/22/2022","Seating 0-12 - Risk Category III","14207 PACIFIC HWY S ","SEATTLE","98168","(253) 796-7155",-122.2838996762,47.475890596,"7-ELEVEN STORE #2361-22866C","Routine Inspection/Field Review",22,"Unsatisfactory","false","BLUE","5000 - Posting of permit; mobile establishment name...",2,"PR0004279","DA0I6FDKH","IVP71GGEU",1
"2554","7-ELEVEN STORE #2361-24404B","7-ELEVEN STORE #2361-24404B","11/28/2022","Seating 0-12 - Risk Category III","3801 CALIFORNIA AVE SW ","Seattle","98116","(253) 796-7155",-122.3871664132,47.5699586859,"7-ELEVEN STORE #2361-24404B","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0002242","DAFY7CYGN","",1
